NOMEDEP;DE;DISTR;MUN;TIPOESC;COD_ESC;NOMESC;DS_PAIS;Nº ALUNOS
ESTADUAL - OUTROS;APIAI;APIAI;APIAI;11;564916;ETEC DE APIAI;Espanha;1
ESTADUAL - OUTROS;LIMEIRA;LIMEIRA;LIMEIRA;27;45950;LIMEIRA COLEGIO TECNICO DE UNICAMP;Japão;2
ESTADUAL - OUTROS;LIMEIRA;LIMEIRA;LIMEIRA;27;45950;LIMEIRA COLEGIO TECNICO DE UNICAMP;Reino Unido da Grã-Bretanha e Irlanda do Norte;2
ESTADUAL - OUTROS;REGISTRO;REGISTRO;REGISTRO;11;444728;REGISTRO ETEC DE;Japão;2
ESTADUAL - OUTROS;SUL 1;VILA ANDRADE;SAO PAULO;11;440620;ABDIAS DO NASCIMENTO ETEC;Argentina;1
ESTADUAL - SE;ADAMANTINA;ADAMANTINA;ADAMANTINA;8;30806;HELEN KELLER;Japão;1
ESTADUAL - SE;ADAMANTINA;ADAMANTINA;ADAMANTINA;8;31045;DURVALINO GRION PROF;Bolívia;1
ESTADUAL - SE;ADAMANTINA;ADAMANTINA;ADAMANTINA;8;31112;FLEURIDES CAVALLINI MENECHINO PROFA;Japão;9
ESTADUAL - SE;ADAMANTINA;ADAMANTINA;ADAMANTINA;8;31112;FLEURIDES CAVALLINI MENECHINO PROFA;Venezuela;1
ESTADUAL - SE;ADAMANTINA;DRACENA;DRACENA;8;31252;JULIETA GUEDES MENDONCA PROFA;Equador;1
ESTADUAL - SE;ADAMANTINA;DRACENA;DRACENA;8;31264;9 DE JULHO;Argélia;1
ESTADUAL - SE;ADAMANTINA;DRACENA;DRACENA;8;31264;9 DE JULHO;Equador;1
ESTADUAL - SE;ADAMANTINA;DRACENA;DRACENA;8;31264;9 DE JULHO;Espanha;1
ESTADUAL - SE;ADAMANTINA;DRACENA;DRACENA;8;31264;9 DE JULHO;Japão;2
ESTADUAL - SE;ADAMANTINA;INUBIA PAULISTA;INUBIA PAULISTA;8;31598;IRALDO ANTONIO MARTINS DE TOLEDO;Bolívia;3
ESTADUAL - SE;ADAMANTINA;JUNQUEIROPOLIS;JUNQUEIROPOLIS;6;458119;CEL JTO A EE IDENE RODRIGUES DOS SANTOS PROF;Japão;1
ESTADUAL - SE;ADAMANTINA;JUNQUEIROPOLIS;JUNQUEIROPOLIS;8;31525;IDENE RODRIGUES DOS SANTOS PROF;Japão;1
ESTADUAL - SE;ADAMANTINA;OSVALDO CRUZ;OSVALDO CRUZ;8;31574;BENJAMIN CONSTANT;Japão;2
ESTADUAL - SE;ADAMANTINA;OSVALDO CRUZ;OSVALDO CRUZ;8;31616;OSVALDO MARTINS;Estados Unidos da América;1
ESTADUAL - SE;ADAMANTINA;OSVALDO CRUZ;OSVALDO CRUZ;8;31636;DOM BOSCO;Estados Unidos da América;1
ESTADUAL - SE;ADAMANTINA;OSVALDO CRUZ;OSVALDO CRUZ;8;31636;DOM BOSCO;Filipinas;1
ESTADUAL - SE;ADAMANTINA;OSVALDO CRUZ;OSVALDO CRUZ;8;922584;MARIA APARECIDA LOPES PROFA;Nova Zelândia (Aotearoa);1
ESTADUAL - SE;ADAMANTINA;OSVALDO CRUZ;OSVALDO CRUZ;8;922584;MARIA APARECIDA LOPES PROFA;Venezuela;3
ESTADUAL - SE;ADAMANTINA;OURO VERDE;OURO VERDE;8;31446;FERDINANDO IENNY;Angola;1
ESTADUAL - SE;ADAMANTINA;PANORAMA;PANORAMA;8;31159;LUCIO ANTUNES DOM;Filipinas;3
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;6;433639;CEL JTO A EE PROFA OLYMPIA BARTH DE OLIVEIRA;Bolívia;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;6;433639;CEL JTO A EE PROFA OLYMPIA BARTH DE OLIVEIRA;Portugal;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;11873;LUIZ HIPOLITO PROFESSOR;Bolívia;2
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;16949;OCTAVIO SOARES DE ARRUDA PROF;Haiti;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;16950;RISOLETA LOPES ARANHA PROFESSORA;Bolívia;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;16962;SILVINO JOSE DE OLIVEIRA PROF;Bolívia;6
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;16962;SILVINO JOSE DE OLIVEIRA PROF;Estados Unidos da América;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;16962;SILVINO JOSE DE OLIVEIRA PROF;Haiti;3
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;16962;SILVINO JOSE DE OLIVEIRA PROF;Venezuela;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;16974;SAO VICENTE DE PAULO;Argentina;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;16974;SAO VICENTE DE PAULO;Bolívia;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;16974;SAO VICENTE DE PAULO;Haiti;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17139;MARIA JOSE DE MATTOS GOBBO PROFA;Bolívia;6
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17139;MARIA JOSE DE MATTOS GOBBO PROFA;Venezuela;3
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17140;MARIO PATARRA FRATTINI PROF;Venezuela;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17152;MAURA ARRUDA GUIDOLIN PROFA;Bolívia;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17152;MAURA ARRUDA GUIDOLIN PROFA;Haiti;5
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17164;JOAO DE CASTRO GONCALVES DR;Bolívia;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17164;JOAO DE CASTRO GONCALVES DR;Haiti;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17164;JOAO DE CASTRO GONCALVES DR;Venezuela;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17176;MAGI MONSENHOR;Bolívia;2
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17176;MAGI MONSENHOR;Espanha;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17188;ARY MENEGATTO PROF;Bolívia;15
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17188;ARY MENEGATTO PROF;Espanha;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17188;ARY MENEGATTO PROF;Haiti;4
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17188;ARY MENEGATTO PROF;Japão;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17197;DELMIRA DE OLIVEIRA LOPES PROFA;Venezuela;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17206;HEITOR PENTEADO DR;Bolívia;3
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17206;HEITOR PENTEADO DR;Haiti;2
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17206;HEITOR PENTEADO DR;Paraguai;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17206;HEITOR PENTEADO DR;Venezuela;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17218;DILECTA CENEVIVA MARTINELLI PROFA;Bolívia;4
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17322;JOAO SOLIDARIO PEDROSO PROF;Haiti;2
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17334;OLYMPIA BARTH DE OLIVEIRA PROFA;Bolívia;7
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17334;OLYMPIA BARTH DE OLIVEIRA PROFA;Haiti;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17334;OLYMPIA BARTH DE OLIVEIRA PROFA;Portugal;2
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;39846;ANTONIO ZANAGA PREFEITO;Bolívia;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;39846;ANTONIO ZANAGA PREFEITO;Haiti;3
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;42473;CONSTANTINO AUGUSTO PINKE PROF;Bolívia;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;42473;CONSTANTINO AUGUSTO PINKE PROF;Haiti;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;42481;MARCELINO TOMBI PROF;Venezuela;3
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;45500;CLARICE COSTA CONTI PROFA;Bolívia;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;47004;HYLDA PARDO DE OLIVEIRA PROFA;Haiti;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;49897;BENTO PENTEADO DOS SANTOS PROF;Bolívia;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;435442;MARIA FRIZZARIN PROFA;Espanha;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;435442;MARIA FRIZZARIN PROFA;Estados Unidos da América;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;435454;MARIA DO CARMO AUGUSTI PROFA;Bolívia;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;435454;MARIA DO CARMO AUGUSTI PROFA;Paraguai;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;435454;MARIA DO CARMO AUGUSTI PROFA;Venezuela;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;578575;PROFESSORA LENY APPARECIDA PAGOTTO BOER;Bolívia;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;578575;PROFESSORA LENY APPARECIDA PAGOTTO BOER;Haiti;2
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;903772;NIOMAR APPARECIDA MATTOS GOBBO AMARAL GURGEL PROFA;Paraguai;2
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;903772;NIOMAR APPARECIDA MATTOS GOBBO AMARAL GURGEL PROFA;Portugal;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;903772;NIOMAR APPARECIDA MATTOS GOBBO AMARAL GURGEL PROFA;Venezuela;2
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;907285;ANNA MARIA LUCIA DE NARDO MORAES BARROS PROFA;Bolívia;2
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;907285;ANNA MARIA LUCIA DE NARDO MORAES BARROS PROFA;Chile;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;907285;ANNA MARIA LUCIA DE NARDO MORAES BARROS PROFA;Haiti;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;907297;IDALINA GRANDIN MIRANDOLA PROFA;Bolívia;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;921567;WILSON CAMARGO PROF;Venezuela;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;922183;SEBASTIANA PAIE RODELLA PROFA;Venezuela;1
ESTADUAL - SE;AMERICANA;NOVA ODESSA;NOVA ODESSA;8;17309;JOAO THIENNE DR;Argentina;1
ESTADUAL - SE;AMERICANA;NOVA ODESSA;NOVA ODESSA;8;17309;JOAO THIENNE DR;Haiti;4
ESTADUAL - SE;AMERICANA;NOVA ODESSA;NOVA ODESSA;8;39810;DORTI ZAMBELLO CALIL PROFA;Bolívia;3
